Flight Line FlownMis FlownHel Production Mission Occurrence
20230321.01 930018 0.0 2.156 00:01:25 * 1
20230324.01 180318 0.0 1.899 00:01:57 180318 1
20230324.01 180316 0.0 1.669 00:01:39 180316 1
20230324.01 180315 0.0 3.326 00:02:48 180315 1
20230324.01 180314 0.0 3.497 00:03:46 180314 1
20230324.01 180313 0.0 3.837 00:03:55 180313 1
20230324.01 180312 0.0 1.238 00:01:15 180312 1
20230324.01 180311 0.0 1.149 00:01:10 180311 1
20230324.01 920024 0.0 0.85 00:00:40 * 2
20230324.01 930024 0.0 10.037 00:05:31 * 3
20230324.01 180319 0.0 1.519 00:01:24 180319 1
20230323.02 920023 0.0 1.002 00:00:47 * 4
20230323.01 383006 0.0 0.719 00:00:34 383006 1
20230323.01 383005 0.0 0.671 00:00:28 383005 1
20230323.01 920022 0.0 1.012 00:00:44 * 5
20230325.01 383009 0.0 0.561 00:00:34 383009 1
20230322.02 920021 0.0 1.016 00:00:47 * 6
20230322.02 930021 0.0 2.976 00:01:41 * 7
20230322.01 920020 0.0 1.024 00:00:45 * 8
20230322.01 930020 0.0 2.457 00:01:51 * 9
20230321.02 920019 0.0 0.992 00:00:47 * 10
20230323.02 930023 0.0 2.708 00:02:01 * 11
20230321.02 930019 0.0 1.608 00:01:28 * 12
20230324.01 180328 0.0 1.542 00:01:16 180328 1
20230324.01 180330 0.0 1.78 00:01:36 180330 1
20230325.01 383010 0.0 0.726 00:00:48 383010 1
20230325.01 383011 0.0 1.626 00:01:17 383011 1
20230325.01 383012 0.0 1.579 00:01:19 383012 1
20230325.01 383013 0.0 1.412 00:01:07 383013 1
20230325.01 383015 0.0 1.331 00:01:12 383015 1
20230324.02 383008 0.0 1.202 00:01:11 383008 1
20230324.02 920025 0.0 1.042 00:00:45 * 13
20230412.01 382023 0.0 1.139 00:00:48 382023 1
20230324.01 180350 0.0 0.391 00:00:23 180350 1
20230324.01 180329 0.0 0.838 00:00:49 180329 1
20230324.01 180345 0.0 0.867 00:00:49 180345 1
20230324.01 180342 0.0 1.631 00:00:43 180342 1
20230324.01 180340 0.0 0.751 00:00:46 180340 1
20230324.01 180337 0.0 0.92 00:00:45 180337 1
20230324.01 180336 0.0 1.05 00:01:07 180336 1
20230324.01 180335 0.0 0.891 00:00:46 180335 1
20230324.01 180334 0.0 1.241 00:00:59 180334 1
20230324.01 180333 0.0 1.277 00:01:09 180333 1
20230324.01 180332 0.0 1.003 00:00:49 180332 1
20230324.01 180331 0.0 1.048 00:01:08 180331 1
20230324.01 180344 0.0 0.908 00:01:06 180344 1
20230321.01 283163 0.0 0.803 00:00:33 283163 1
20230325.01 920026 0.0 1.094 00:00:46 * 14
20230324.01 103902 3.166 3.168 00:02:11 L103900.1 1
20230324.01 104003 1.906 1.901 00:01:36 L104000.1 1
20230324.01 104002 1.171 1.149 00:01:01 L104000.2 1
20230324.01 104104 0.947 0.946 00:00:48 L104100.1 1
20230324.01 104203 1.11 1.093 00:01:07 L104200.1 1
20230324.01 180323 0.541 0.634 00:00:58 180323 1
20230324.01 180320 0.708 0.935 00:01:07 180320 1
20230324.01 180321 0.928 1.039 00:01:10 180321 1
20230324.01 180322 1.028 1.131 00:01:45 180322 1
20230324.01 180327 1.088 1.073 00:00:52 180327 1
20230324.01 180326 1.174 1.165 00:01:11 180326 1
20230324.01 180325 0.078 0.234 00:00:19 180325 1
20230324.01 180324 0.368 0.672 00:00:36 180324 1
20230324.01 180317 0.043 0.25 00:00:15 180317 1
20230324.01 180338 0.763 0.86 00:00:50 180338 1
20230324.01 180339 1.22 1.204 00:00:57 180339 1
20230324.01 180341 0.995 0.972 00:00:54 180341 1
20230324.01 180346 0.765 0.764 00:00:46 180346 1
20230324.01 180343 0.878 0.939 00:00:49 180343 1
20230324.01 180349 0.888 0.995 00:00:53 180349 1
20230324.01 180348 0.717 0.745 00:00:45 180348 1
20230324.01 180347 1.003 1.164 00:01:07 180347 1
20230323.01 210302 0.979 0.979 00:00:53 L210300.2 1
20230323.01 210403 0.906 0.897 00:00:42 L210400.2 1
20230323.01 210702 1.93 1.922 00:01:32 L210700.3 1
20230323.01 210802 1.322 1.338 00:01:01 L210800.3 1
20230323.01 210902 1.396 1.396 00:01:11 L210900.3 1
20230323.01 211002 1.299 1.344 00:01:12 L211000.3 1
20230323.01 211103 1.583 1.571 00:01:18 L211100.2 1
20230323.01 211102 1.271 1.284 00:01:14 L211100.3 1
20230323.01 211203 1.6 1.583 00:01:03 L211200.2 1
20230323.01 211202 1.027 1.024 00:00:58 L211200.3 1
20230323.01 211303 1.588 1.573 00:01:18 L211300.2 1
20230323.01 211302 1.172 1.237 00:01:14 L211300.3 1
20230323.01 211403 1.06 1.068 00:00:47 L211400.2 1
20230323.01 211402 1.001 1.017 00:00:53 L211400.3 1
20230323.01 211502 2.729 2.738 00:02:14 L211500.2 1
20230323.01 211603 1.883 1.882 00:01:20 L211600.3 1
20230323.01 211702 1.595 1.594 00:01:21 L211700.3 1
20230323.01 211802 1.223 1.208 00:01:02 L211800.3 1
20230321.01 214701 7.404 7.622 00:06:42 L214700 1
20230321.01 214801 7.373 7.53 00:05:55 L214800 1
20230321.01 214901 6.698 6.812 00:05:41 L214900 1
20230321.01 214902 2.89 2.905 00:02:30 L214900 2
20230321.01 215001 1.755 1.729 00:01:23 L215000 1
20230321.01 215002 1.768 1.887 00:01:42 L215000 2
20230321.01 215101 1.517 1.524 00:01:06 L215100.1 1
20230321.01 215102 1.116 1.119 00:00:54 L215100.1 2
20230321.01 215204 1.556 1.695 00:01:31 L215200.0 1
20230321.01 215201 1.722 1.772 00:01:26 L215200.1 1
20230321.01 215202 1.338 1.365 00:00:59 L215200.1 2
20230321.01 215203 0.886 0.874 00:00:45 L215200.1 3
20230321.01 215302 1.472 1.529 00:01:28 L215300.0 1
20230321.01 215301 0.856 0.861 00:00:47 L215300.1 1
20230321.01 215502 0.517 0.477 00:00:27 L215400.0 1
20230321.01 215401 0.89 0.88 00:00:49 L215400.1 1
20230321.01 215503 0.975 1.061 00:01:03 L215500.0 1
20230321.01 215501 3.072 3.149 00:02:31 L215500.1 1
20230321.01 215601 0.824 0.806 00:00:51 L215600.0 1
20230321.01 215602 2.65 2.642 00:02:07 L215600.1 1
20230321.01 215701 0.899 0.882 00:00:45 L215700.0 1
20230321.01 215702 2.518 2.519 00:01:56 L215700.1 1
20230321.01 215801 2.091 2.089 00:01:34 L215800.0 1
20230321.01 215901 2.128 2.136 00:01:43 L215900.0 1
20230321.01 216101 1.523 1.54 00:01:13 L216000.0 1
20230321.01 216001 1.601 1.579 00:01:06 L216000.0 2
20230321.01 283166 1.563 1.635 00:01:15 283166 1
20230321.01 216201 0.195 0.167 00:00:10 L216200.0 1
20230321.01 283165 0.849 0.9 00:00:45 283165 1
20230321.01 216301 0.212 0.222 00:00:16 L216300.0 1
20230321.01 216402 0.782 0.832 00:00:44 L216400.0 1
20230321.01 283164 0.315 0.606 00:00:31 283164 1
20230321.01 216401 0.242 0.235 00:00:17 L216400.1 1
20230321.01 216501 0.227 0.237 00:00:18 L216500.1 1
20230321.01 216601 0.919 0.941 00:00:42 L216600.0 1
20230321.01 216702 0.983 0.953 00:00:44 L216700.0 1
20230321.01 216701 0.322 0.331 00:00:22 L216700.1 1
20230321.01 216803 1.066 1.049 00:00:52 L216800.0 1
20230321.01 216801 0.663 0.65 00:00:39 L216800.1 1
20230321.01 216802 0.675 0.669 00:00:35 L216800.1 2
20230321.01 216901 0.74 0.75 00:00:39 L216900.0 1
20230321.01 217001 1.051 1.021 00:00:55 L217000.0 1
20230321.01 217101 0.904 0.878 00:00:39 L217100.0 1
20230321.01 217102 0.736 0.723 00:00:32 L217100.0 2
20230321.01 217201 1.497 1.478 00:01:17 L217200.0 1
20230321.01 217301 0.704 0.676 00:00:35 L217300.0 1
20230321.01 217401 0.718 0.688 00:00:34 L217400.0 1
20230321.01 217501 0.732 0.723 00:00:36 L217500.0 1
20230323.01 300101 1.35 1.352 00:01:11 L300100 1
20230323.01 300201 1.541 1.535 00:01:06 L300200 1
20230323.01 300301 1.556 1.624 00:01:28 L300300 1
20230323.01 300401 1.452 1.463 00:01:07 L300400 1
20230323.01 300501 1.88 1.918 00:01:35 L300500 1
20230323.01 300601 2.543 2.569 00:01:56 L300600 1
20230323.01 300701 2.907 2.938 00:02:29 L300700 1
20230323.01 300801 3.075 3.187 00:02:06 L300800 1
20230323.01 300901 3.136 3.244 00:02:37 L300900 1
20230323.01 301001 3.35 3.341 00:02:13 L301000 1
20230323.01 301101 3.452 3.438 00:02:40 L301100.0 1
20230323.01 301201 2.945 2.965 00:02:11 L301200.0 1
20230323.01 301301 2.777 2.771 00:02:19 L301300.0 1
20230323.01 301401 2.005 2.093 00:01:45 L301400.0 1
20230323.01 301501 1.7 1.821 00:01:43 L301500.0 1
20230323.01 301601 1.767 1.809 00:01:35 L301600.0 1
20230323.01 301701 1.847 1.89 00:01:40 L301700.0 1
20230323.01 301801 1.968 1.995 00:01:43 L301800.0 1
20230323.01 301901 2.034 2.102 00:01:50 L301900.0 1
20230323.01 302001 2.07 2.069 00:01:35 L302000.0 1
20230322.02 302101 0.767 0.765 00:00:38 L302100.0 1
20230323.01 302102 2.623 2.653 00:02:23 L302100.1 1
20230322.02 302201 1.136 1.12 00:00:52 L302200.0 1
20230323.01 302202 2.653 2.71 00:02:24 L302200.1 1
20230322.02 302301 1.045 1.036 00:00:49 L302300.0 1
20230323.01 302302 2.601 2.656 00:02:30 L302300.1 1
20230322.02 302401 1.34 1.33 00:00:58 L302400.0 1
20230323.01 302402 2.37 2.412 00:01:51 L302400.1 1
20230322.02 302501 1.249 1.243 00:01:00 L302500.0 1
20230323.01 302502 2.393 2.392 00:02:00 L302500.1 1
20230322.02 302601 1.569 1.594 00:01:21 L302600.0 1
20230323.01 302602 2.465 2.472 00:01:48 L302600.1 1
20230322.02 302701 1.314 1.313 00:01:08 L302700.0 1
20230323.01 302702 2.483 2.486 00:02:11 L302700.1 1
20230322.02 302801 1.628 1.637 00:01:17 L302800.0 1
20230323.01 302802 4.225 4.237 00:02:51 L302800.1 1
20230322.02 302902 0.44 0.421 00:00:26 L302900.0 1
20230322.02 302901 1.155 1.155 00:00:55 L302900.0 2
20230323.01 302903 4.35 4.363 00:03:38 L302900.2 1
20230322.02 303001 1.864 1.846 00:01:30 L303000.0 1
20230323.01 303002 4.357 4.411 00:03:40 L303000.1 1
20230322.02 303101 2.153 2.162 00:01:42 L303100.0 1
20230323.01 303102 4.255 4.289 00:03:39 L303100.1 1
20230322.02 303201 2.2 2.22 00:02:00 L303200.0 1
20230323.01 303202 4.185 4.187 00:03:06 L303200.1 1
20230322.02 303301 2.484 2.478 00:01:45 L303300.0 1
20230323.01 303302 4.161 4.165 00:03:28 L303300.1 1
20230325.01 303303 1.333 1.314 00:00:55 L303300.2 1
20230322.02 303401 2.47 2.451 00:01:57 L303400.0 1
20230323.01 303402 3.896 3.922 00:03:08 L303400.1 1
20230325.01 303403 1.371 1.372 00:01:12 L303400.2 1
20230322.02 303501 2.848 2.847 00:02:14 L303500.0 1
20230323.01 303502 3.886 3.963 00:03:47 L303500.1 1
20230325.01 303503 1.317 1.322 00:01:05 L303500.2 1
20230322.02 303601 3.081 3.207 00:02:49 L303600.0 1
20230323.01 303602 3.387 3.385 00:02:33 L303600.1 1
20230325.01 303603 0.86 0.836 00:00:49 L303600.2 1
20230322.02 303701 3.992 4.177 00:03:10 L303700.0 1
20230323.01 303702 3.05 3.065 00:02:36 L303700.1 1
20230322.02 303801 4.272 4.263 00:03:04 L303800.0 1
20230323.01 303802 2.802 2.798 00:02:02 L303800.1 1
20230322.02 303901 6.54 6.577 00:04:31 L303900.0 1
20230323.01 303902 1.573 1.581 00:01:22 L303900.1 1
20230322.02 304001 6.391 6.419 00:04:43 L304000.1 1
20230323.01 304002 1.354 1.341 00:01:02 L304000.2 1
20230321.01 383003 1.003 1.061 00:00:43 383003 1
20230322.02 304101 6.042 6.091 00:04:29 L304100.1 1
20230323.01 304102 1.194 1.178 00:00:57 L304100.2 1
20230321.01 383004 0.733 0.73 00:00:33 383004 1
20230322.02 304201 6.316 6.393 00:04:44 L304200.1 1
20230323.01 304202 1.022 1.02 00:00:48 L304200.2 1
20230321.01 304301 0.487 0.475 00:00:28 L304300.0 1
20230322.02 304302 6.347 6.38 00:04:14 L304300.2 1
20230321.01 304401 0.608 0.585 00:00:28 L304400.0 1
20230322.02 304403 1.839 1.842 00:01:30 L304400.1 1
20230322.02 304402 4.307 4.344 00:03:10 L304400.2 1
20230321.01 304501 1.087 1.077 00:00:50 L304500.0 1
20230322.02 304503 6.23 6.273 00:04:33 L304500.2 1
20230322.01 304502 1.43 1.432 00:01:22 L304500.3 1
20230321.01 304601 2.568 2.562 00:01:35 L304600.0 1
20230322.02 304604 1.76 1.768 00:01:26 L304600.1 1
20230322.02 304603 4.317 4.431 00:03:23 L304600.2 1
20230322.01 304602 1.3 1.317 00:01:18 L304600.3 1
20230325.01 304605 1.135 1.139 00:00:58 L304600.4 1
20230321.01 304701 2.027 2.015 00:01:28 L304700.0 1
20230322.02 304704 1.153 1.154 00:00:58 L304700.1 1
20230322.02 304703 4.133 4.162 00:03:07 L304700.2 1
20230322.01 304702 1.411 1.416 00:01:25 L304700.3 1
20230325.01 304705 1.184 1.178 00:01:03 L304700.4 1
20230321.01 304801 2.72 2.709 00:01:52 L304800.0 1
20230322.02 304804 0.97 0.981 00:00:56 L304800.1 1
20230322.01 304802 4.348 4.381 00:03:51 L304800.2 1
20230322.01 304803 1.415 1.407 00:01:19 L304800.3 1
20230325.01 304805 1.102 1.096 00:00:58 L304800.4 1
20230321.01 304901 2.755 2.771 00:02:20 L304900.0 1
20230322.02 304905 1.003 1.002 00:00:59 L304900.1 1
20230322.01 304902 3.105 3.12 00:02:35 L304900.2 1
20230322.01 304903 1.085 1.08 00:01:02 L304900.2 2
20230322.01 304904 1.387 1.389 00:01:15 L304900.3 1
20230325.01 304906 1.157 1.144 00:01:00 L304900.4 1
20230321.01 305001 3.079 3.042 00:02:04 L305000.0 1
20230322.01 305003 1.195 1.181 00:01:06 L305000.1 1
20230322.01 305002 4.454 4.572 00:04:09 L305000.1 2
20230322.01 305004 1.15 1.152 00:01:02 L305000.2 1
20230325.01 305005 1.123 1.142 00:00:59 L305000.3 1
20230321.01 305101 2.881 2.895 00:02:18 L305100.0 1
20230322.01 305102 4.594 4.625 00:03:59 L305100.1 1
20230322.01 305103 1.172 1.163 00:01:02 L305100.1 2
20230322.01 305104 1.084 1.079 00:01:00 L305100.2 1
20230325.01 305105 1.135 1.118 00:00:58 L305100.3 1
20230321.01 305201 3.155 3.175 00:02:00 L305200.0 1
20230322.01 305202 4.627 4.714 00:04:04 L305200.1 1
20230322.01 305203 1.261 1.308 00:01:24 L305200.1 2
20230322.01 305204 0.993 1.01 00:00:58 L305200.2 1
20230325.01 305205 1.009 0.991 00:00:50 L305200.3 1
20230321.01 305301 3.317 3.31 00:02:36 L305300.0 1
20230322.01 305302 0.491 0.482 00:00:36 L305300.1 1
20230322.01 305303 3.731 3.756 00:03:28 L305300.1 2
20230322.01 305304 1.246 1.236 00:01:09 L305300.1 3
20230322.01 305305 1.002 0.983 00:00:56 L305300.2 1
20230325.01 305306 1.137 1.16 00:01:06 L305300.3 1
20230325.01 305307 1.008 0.989 00:00:53 L305300.4 1
20230321.01 305401 3.32 3.323 00:02:25 L305400.0 1
20230322.01 305403 5.021 5.119 00:04:06 L305400.1 1
