      Flight    Line  FlownMis  FlownHel  Production        Mission
 20220307.02  120001     0.945     0.931    00:01:00        L120000
 20220307.02  120101     0.979     0.999    00:01:10        L120100
 20220307.02  120301     1.150     1.138    00:01:14        L120300
 20220307.02  120102     1.114     1.086    00:01:06        L120100
 20230308.01  930001     0.000     2.798    00:01:38              *
 20230308.01  100101     1.219     1.181    00:00:56        L100100
 20230308.01  100201     1.344     1.305    00:01:01        L100200
 20230308.01  100301     1.428     1.394    00:01:12        L100300
 20230308.01  100401     1.647     1.633    00:01:20        L100400
 20230308.01  100501     1.789     1.773    00:01:33        L100500
 20230308.01  100601     1.967     1.933    00:01:38        L100600
 20230308.01  100701     2.097     2.071    00:01:46        L100700
 20230308.01  100801     2.066     2.088    00:01:51        L100800
 20230308.01  100901     1.274     1.251    00:01:06        L100900
 20230308.01  101001     1.336     1.326    00:01:10        L101000
 20230308.01  101101     1.343     1.320    00:01:09        L101100
 20230308.01  101301     1.502     1.469    00:01:19        L101300
 20230308.01  101201     1.432     1.430    00:01:12        L101200
 20230308.01  101401     1.674     1.660    00:01:31        L101400
 20230308.01  101501     1.857     1.852    00:01:27        L101500
 20230308.01  101701     2.490     2.481    00:02:00        L101700
 20230308.01  101601     2.198     2.176    00:01:39        L101600
 20230308.01  101901     3.143     3.132    00:02:33        L101900
 20230308.01  101801     2.754     2.742    00:02:04        L101800
 20230308.01  102001     3.374     3.345    00:02:38        L102000
 20230308.01  102101     3.562     3.545    00:02:44        L102100
 20230308.01  102301     4.092     4.086    00:03:10      L102300.1
 20230308.01  102201     3.780     3.771    00:02:48      L102200.0
 20230308.01  102401     4.357     4.339    00:03:20      L102400.1
 20230308.01  102402     2.850     2.820    00:02:18      L102400.0
 20230308.01  102601     7.190     7.199    00:05:09        L102600
 20230308.01  102801     7.406     7.387    00:05:39        L102800
 20230308.01  103001     7.309     7.285    00:05:25        L103000
 20230308.01  102701     7.074     7.058    00:05:19        L102700
 20230308.01  102501     7.014     7.023    00:04:57        L102500
 20230308.01  102901     7.480     7.459    00:05:39        L102900
 20230308.01  103101     7.305     7.302    00:05:16        L103100
 20230308.01  103201     5.321     5.304    00:04:01      L103200.1
 20230308.01  102302     1.907     1.887    00:01:19      L102300.0
 20230308.01  103202     1.673     1.654    00:01:26      L103200.0
 20230308.01  103401     1.052     1.059    00:00:56      L103400.1
 20230308.01  103501     1.054     1.038    00:00:58      L103500.0
 20230308.01  103601     0.864     0.867    00:00:48      L103600.0
 20230308.01  103801     0.832     0.870    00:00:47      L103800.0
 20230308.01  103301     1.063     1.041    00:00:49      L103300.0
 20230308.01  103701     1.044     1.043    00:00:58      L103700.0
 20230308.01  103302     3.467     3.464    00:02:33      L103300.1
 20230308.01  103602     3.266     3.269    00:02:37      L103600.1
 20230308.01  103502     2.867     2.870    00:02:03      L103500.1
 20230308.01  103402     2.798     2.783    00:02:13      L103400.2
 20230308.01  103702     2.682     2.670    00:01:58      L103700.1
 20230308.01  103802     2.788     2.785    00:02:02      L103800.2
 20230308.01  920001     0.000     0.799    00:00:46              *
 20230308.01  180001     0.236     0.682    00:00:39        L102000
 20230308.01  180002     0.000     0.871    00:00:43              *
 20230308.01  180003     0.588     0.813    00:00:38        L102600
 20230308.02  930002     0.000     1.433    00:00:55              *
 20230308.02  107601     1.178     1.174    00:01:07      L107600.2
 20230308.02  107901     1.434     1.462    00:01:34      L107900.2
 20230308.02  107801     0.932     0.912    00:00:48      L107800.2
 20230308.02  108001     1.340     1.416    00:01:24      L108000.3
 20230308.02  108101     1.571     1.580    00:01:23      L108100.3
 20230308.02  108201     1.551     1.552    00:01:26      L108200.3
 20230308.02  108301     1.167     1.141    00:00:55      L108300.2
 20230308.02  108401     1.303     1.313    00:01:11      L108400.2
 20230308.02  108501     0.930     0.912    00:00:44      L108500.2
 20230308.02  108801     1.439     1.434    00:01:26      L108800.2
 20230308.02  108901     1.138     1.126    00:01:00      L108900.2
 20230308.02  109101     1.268     1.256    00:01:14      L109100.3
 20230308.02  109001     0.929     0.920    00:00:44      L109000.2
 20230308.02  110101     1.066     1.056    00:01:05      L110100.1
 20230308.02  110201     1.231     1.246    00:01:12      L110200.1
 20230308.02  110301     2.613     2.633    00:02:37      L110300.0
