---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230324.01  930024     0.000    10.037    00:05:31              *
 20230324.01  103902     3.166     3.168    00:02:11      L103900.1
 20230324.01  104002     1.171     1.149    00:01:01      L104000.2
 20230324.01  104003     1.906     1.901    00:01:36      L104000.1
 20230324.01  104104     0.947     0.946    00:00:48      L104100.1
 20230324.01  104203     1.110     1.093    00:01:07      L104200.1
 20230324.01  310405     1.235     1.274    00:01:18      L310400.3
 20230324.01  310504     1.327     1.328    00:01:06      L310500.3
 20230324.01  310603     1.453     1.446    00:01:13      L310600.3
 20230324.01  310701     1.505     1.496    00:01:07      L310700.3
 20230324.01  310801     1.661     1.768    00:01:37      L310800.2
 20230324.01  310901     1.599     1.669    00:01:18      L310900.2
 20230324.01  311001     1.464     1.480    00:01:16      L311000.2
 20230324.01  311101     1.271     1.247    00:01:05      L311100.2
 20230324.01  311201     1.254     1.244    00:01:10      L311200.2
 20230324.01  311301     1.317     1.305    00:01:06      L311300.2
 20230324.01  311401     1.336     1.326    00:01:05      L311400.3
 20230324.01  311501     1.404     1.398    00:01:04      L311500.2
 20230324.01  311601     1.240     1.222    00:01:10      L311600.2
 20230324.01  311602     4.032     4.061    00:03:12      L311600.1
 20230324.01  311502     3.767     3.748    00:02:37      L311500.1
 20230324.01  311402     1.073     1.054    00:00:55      L311400.2
 20230324.01  311403     2.492     2.502    00:02:00      L311400.1
 20230324.01  311302     2.449     2.432    00:01:46      L311300.1
 20230324.01  311202     2.456     2.450    00:02:00      L311200.1
 20230324.01  311102     1.877     1.856    00:01:25      L311100.1
 20230324.01  311002     1.954     1.981    00:01:48      L311000.1
 20230324.01  310902     1.690     1.724    00:01:30      L310900.1
 20230324.01  310802     1.797     1.861    00:01:50      L310800.1
 20230324.01  310702     1.993     1.979    00:01:34      L310700.2
 20230324.01  310604     2.108     2.100    00:01:45      L310600.2
 20230324.01  920024     0.000     0.850    00:00:40              *
 20230324.01  180311     0.000     1.149    00:01:10              *
 20230324.01  180312     0.000     1.238    00:01:15              *
 20230324.01  180313     0.000     3.837    00:03:55              *
 20230324.01  180314     0.000     3.497    00:03:46              *
 20230324.01  180315     0.000     3.326    00:02:48              *
 20230324.01  180316     0.000     1.669    00:01:39              *
 20230324.01  180317     0.043     0.250    00:00:15      L109000.2
 20230324.01  180318     0.000     1.899    00:01:57              *
 20230324.01  180319     0.000     1.519    00:01:24              *
 20230324.01  180320     0.708     0.935    00:01:07      L107200.3
 20230324.01  180321     0.928     1.039    00:01:10      L107300.3
 20230324.01  180322     1.028     1.131    00:01:45      L107400.3
 20230324.01  180323     0.541     0.634    00:00:58      L107000.2
 20230324.01  180324     0.368     0.672    00:00:36      L108100.3
 20230324.01  180325     0.078     0.234    00:00:19      L107900.2
 20230324.01  180326     1.174     1.165    00:01:11      L107800.2
 20230324.01  180327     1.088     1.073    00:00:52      L107600.2
 20230324.01  180328     0.000     1.542    00:01:16              *
 20230324.01  180329     0.000     0.838    00:00:49              *
 20230324.01  180330     0.000     1.780    00:01:36              *
 20230324.01  180331     0.000     1.048    00:01:08              *
 20230324.01  180332     0.000     1.003    00:00:49              *
 20230324.01  180333     0.000     1.277    00:01:09              *
 20230324.01  180334     0.000     1.241    00:00:59              *
 20230324.01  180335     0.000     0.891    00:00:46              *
 20230324.01  180336     0.000     1.050    00:01:07              *
 20230324.01  180337     0.000     0.920    00:00:45              *
 20230324.01  180338     0.763     0.860    00:00:50      L109200.3
 20230324.01  180339     1.220     1.204    00:00:57      L109200.3
 20230324.01  180340     0.000     0.751    00:00:46              *
 20230324.01  180341     0.995     0.972    00:00:54      L110200.0
 20230324.01  180342     0.000     1.631    00:00:43              *
 20230324.01  180343     0.878     0.939    00:00:49      L114200.1
 20230324.01  180344     0.000     0.908    00:01:06              *
 20230324.01  180345     0.000     0.867    00:00:49              *
 20230324.01  180346     0.765     0.764    00:00:46      L114100.1
 20230324.01  180347     1.003     1.164    00:01:07      L114800.0
 20230324.01  180348     0.717     0.745    00:00:45      L114800.0
 20230324.01  180349     0.888     0.995    00:00:53      L114300.1
 20230324.01  180350     0.000     0.391    00:00:23              *
                        67.240   114.143    01:38:41

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230324.01    67.240   114.143    01:53:25    01:38:41    00:14:43
                67.240   114.143    01:53:25    01:38:41    00:14:43

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230324       67.240   114.143    01:53:25    01:38:41    00:14:43
                67.240   114.143    01:53:25    01:38:41    00:14:43
